,Model,Random State,Best Parameters,f1_Score,Execution Time
0,GaussianNB(),1.0,{'var_smoothing': 0.04328761281083057},0.9533286661999534,0.5590097904205322
1,GaussianNB(),2.0,{'var_smoothing': 0.0657933224657568},0.9533286661999534,0.5159766674041748
2,GaussianNB(),3.0,{'var_smoothing': 0.02848035868435802},0.9533286661999534,0.6929402351379395
3,GaussianNB(),4.0,{'var_smoothing': 0.2848035868435802},0.9533286661999534,0.5353782176971436
4,GaussianNB(),5.0,{'var_smoothing': 0.2848035868435802},0.9533286661999534,0.6205387115478516
5,GaussianNB(),6.0,{'var_smoothing': 0.23101297000831597},0.9533286661999534,0.5304708480834961
6,GaussianNB(),7.0,{'var_smoothing': 0.15199110829529336},0.9533286661999534,0.5720264911651611
7,GaussianNB(),8.0,{'var_smoothing': 0.1873817422860384},0.9533286661999534,0.5455448627471924
8,GaussianNB(),9.0,{'var_smoothing': 0.1873817422860384},0.9533286661999534,0.6133589744567871
9,GaussianNB(),10.0,{'var_smoothing': 0.1873817422860384},0.9533286661999534,0.6293189525604248
